source_device_id,target_device_id,days_since_release,connected
077B2ED108D9004C90D9C56AAF9,077BA60708D90060A84663523E6,0,1
077BBFD208D9025E51246C0E058,077BE8AD08D9004E7A2AFA6CDEE,0,1
00007BF208D9031BD4D253F0A6D,0762BF2D08D901051F657B86F80,1,1
00007BF208D9031BD4D253F0A6D,077BA60708D90060A84663523E6,2,1
0762BF2D08D901051F657B86F80,077BBFD208D9025E51246C0E058,5,1
00007BF208D9031BD4D253F0A6D,077B536F08D903714BCE716E276,6,1
077B2ED108D9004C90D9C56AAF9,077BA60708D90060A84663523E6,1,1
077B2ED108D9004C90D9C56AAF9,077BA60708D90060A84663523E6,2,1
077B2ED108D9004C90D9C56AAF9,077BA60708D90060A84663523E6,3,1
077B2ED108D9004C90D9C56AAF9,077BA60708D90060A84663523E6,4,1
077B2ED108D9004C90D9C56AAF9,077BA60708D90060A84663523E6,5,1
077B2ED108D9004C90D9C56AAF9,077BA60708D90060A84663523E6,6,1
077B2ED108D9004C90D9C56AAF9,077BA60708D90060A84663523E6,7,1
077BBFD208D9025E51246C0E058,077BE8AD08D9004E7A2AFA6CDEE,1,1
077BBFD208D9025E51246C0E058,077BE8AD08D9004E7A2AFA6CDEE,2,1
077BBFD208D9025E51246C0E058,077BE8AD08D9004E7A2AFA6CDEE,3,1
077BBFD208D9025E51246C0E058,077BE8AD08D9004E7A2AFA6CDEE,4,1
077BBFD208D9025E51246C0E058,077BE8AD08D9004E7A2AFA6CDEE,5,2
077BBFD208D9025E51246C0E058,077BE8AD08D9004E7A2AFA6CDEE,6,2
077BBFD208D9025E51246C0E058,077BE8AD08D9004E7A2AFA6CDEE,7,2
00007BF208D9031BD4D253F0A6D,0762BF2D08D901051F657B86F80,2,2
00007BF208D9031BD4D253F0A6D,0762BF2D08D901051F657B86F80,3,2
00007BF208D9031BD4D253F0A6D,0762BF2D08D901051F657B86F80,4,2
00007BF208D9031BD4D253F0A6D,0762BF2D08D901051F657B86F80,5,2
00007BF208D9031BD4D253F0A6D,0762BF2D08D901051F657B86F80,6,2
00007BF208D9031BD4D253F0A6D,0762BF2D08D901051F657B86F80,7,2
00007BF208D9031BD4D253F0A6D,077BA60708D90060A84663523E6,3,1
00007BF208D9031BD4D253F0A6D,077BA60708D90060A84663523E6,4,1
00007BF208D9031BD4D253F0A6D,077BA60708D90060A84663523E6,5,1
00007BF208D9031BD4D253F0A6D,077BA60708D90060A84663523E6,6,1
00007BF208D9031BD4D253F0A6D,077BA60708D90060A84663523E6,7,1
0762BF2D08D901051F657B86F80,077BBFD208D9025E51246C0E058,6,1
0762BF2D08D901051F657B86F80,077BBFD208D9025E51246C0E058,7,1
00007BF208D9031BD4D253F0A6D,077B536F08D903714BCE716E276,7,1
0763954808D8EE2F38A45DB2A51,076300F508D8EE3E4C1EFB4095E,3,1
0763954808D8EE2F38A45DB2A51,076300F508D8EE3E4C1EFB4095E,4,2
0763954808D8EE2F38A45DB2A51,076300F508D8EE3E4C1EFB4095E,5,2
0763954808D8EE2F38A45DB2A51,076300F508D8EE3E4C1EFB4095E,6,2
0763954808D8EE2F38A45DB2A51,076300F508D8EE3E4C1EFB4095E,7,2
0763969308D8ED79CC6C2D4C2AF,0763954808D8EE2F38A45DB2A51,5,1
0763969308D8ED79CC6C2D4C2AF,0763954808D8EE2F38A45DB2A51,6,1
0763969308D8ED79CC6C2D4C2AF,0763954808D8EE2F38A45DB2A51,7,1
07637FFA08D8EE37E4FABA54EAF,0763F78208D8EE39FF431E4A4FF,4,1
07637FFA08D8EE37E4FABA54EAF,0763F78208D8EE39FF431E4A4FF,5,1
07637FFA08D8EE37E4FABA54EAF,0763F78208D8EE39FF431E4A4FF,6,1
07637FFA08D8EE37E4FABA54EAF,0763F78208D8EE39FF431E4A4FF,7,1
0763969308D8ED79CC6C2D4C2AF,07637FFA08D8EE37E4FABA54EAF,6,1
0763969308D8ED79CC6C2D4C2AF,07637FFA08D8EE37E4FABA54EAF,7,1